dnt have much mney
wings are done lol
ok  how are you
yeah  it is hallucinogen
just search for salvia
maybe burgers and dogs
breakfast of champs lol
so wed or fri
i think so  yes
so maybe 7 30
can we do 6pm
sounds good  6 30
in the banquet room
yeah  sounds like fun
which house is urs
on my way home
i didn't dress up
so class is cancelled
jack she says yes
ate you in class
can i call u
smoke breaks  rastafarian style
have fun without me
just got google tv
why do u ask
r u in class
lol  u caught that
they are here now
like my laptop recovery
nope got friend over
come over any time
this line sucks lol
