fresh chilly on stove
what  lol  he talks
thanks i apprcate it
where is it at
ok mght nt ether
i eat pizza now
ill be ok    promise
gram   mom is home
my mom is home
shooting to be there
whatcha up to today
cool  wanna do something
hungry for zucchini stew
did u eat yet
ok heading over there
me too running late
no pic came through
yeah that should work
gram mentioned pizza hit
nope  just got home
can i swing by
lol  is amber going
dunno yet  we'll see
easier if i call
swing by later today
i'm here till 5
yes i have him
comin back from lunch
go snort a line
any plans for later
wanna do something later
k  i'll be by
dnt have much mney
wings are done lol
ok  how are you
yeah  it is hallucinogen
just search for salvia
maybe burgers and dogs
breakfast of champs lol
so wed or fri
i think so  yes
so maybe 7 30
can we do 6pm
sounds good  6 30
in the banquet room
yeah  sounds like fun
which house is urs
on my way home
i didn't dress up
so class is cancelled
jack she says yes
ate you in class
can i call u
smoke breaks  rastafarian style
have fun without me
just got google tv
why do u ask
r u in class
lol  u caught that
they are here now
like my laptop recovery
nope got friend over
come over any time
this line sucks lol
